title,genre,director,country,year
Дэвид Боуи: Moonage Daydream,Документальный фильм,,,2022
Иваново счастье,драматический фильм,,,2021
Идентичность,драматический фильм,,,
Ёлки 9,комедия,Александра Лупашко,,
Зона 414,научно-фантастический фильм,,,
Идеальные незнакомцы,драматический фильм,,,
Золушка,"мюзикл,романтика",Кэй Кэннон,,
Злое,фильм ужасов,Джеймс Ван,,2021
З/Л/О 94,"ужасы,найденная плёнка",Саймон Баррет,,2021
Звёздный рубеж,"научно-фантастический,боевик",Эдвард Дрейк,,
Заклятие 3: По воле дьявола,,Майкл Чавес,,2021
Стрелок,"триллер,боевик",Роберт Лоренц,,2021
#засранка,Комедия,,,2021
За гранью жизни,"триллер,криминал",,,2021
Звёздный разум,"приключения,фантастика",Алекс Гурьев,,
Реальная история Уиннер,биографический фильм,,,2024
Женщина в окне,"триллер,драма,детектив",Джо Райт,,
Смертельное оружие: Смертельный финал,,Мел Гибсон,,
Слухи,,,,
Серфер,психологический триллер,,,
Самая большая луна,фэнтези,Алексей Попогребский,,2024
Саваны,"фильм ужасов,триллер",Дэвид Кроненберг,,2024
Рецепт любви,романтический фильм,,,
Рассвет,фильм ужасов,,,
Разрушение,боевик,,,2024
Пчеловод,"боевик,триллер",,,2024
Путешествие в Индию:,"фэнтези,приключения,триллер",Олег Степченко,,2024
Противостояние,"драма,военный фильм,криминальный фильм,детективный фильм",,,2024
Присяжный № 2,триллер,Клинт Иствуд,,
Присутствие,психологический триллер,,,
Проклятые воды,фильм ужасов,,,2024
Избави нас. Одержимые,фильм ужасов,"Крю Эннис,Ли Рой Кунц",,2023
"Иди ко мне, детка",романтическая комедия,,,
